country,year,ef
Albania,2015,0
Belarus,2015,0.000808052
Bosnia and Herzegovina,2015,0.000948097
North Macedonia,2015,0.000714203
Morocco,2015,0.000692839
Russia,2015,0.000760368
Serbia,2015,0.000971637
Switzerland,2015,3.80E-05
Turkey,2015,0.000471756
Ukraine,2015,0.00056289
Albania,2017,0
Belarus,2017,0.000823603
Bosnia and Herzegovina,2017,0.000971732
North Macedonia,2017,0.000722031
Morocco,2017,0.00064941
Russia,2017,0.000759755
Serbia,2017,0.001092433
Switzerland,2017,4.04E-05
Turkey,2017,0.000492305
Ukraine,2017,0.000560625
Albania,2018,0
Belarus,2018,0.000823603
Bosnia and Herzegovina,2018,0.000971732
North Macedonia,2018,0.000722031
Morocco,2018,0.00064941
Russia,2018,0.000759755
Serbia,2018,0.001092433
Switzerland,2018,4.04E-05
Turkey,2018,0.0004808
Ukraine,2018,0.000560625
Albania,2019,0
Belarus,2019,0.000823603
Bosnia and Herzegovina,2019,0.000971732
North Macedonia,2019,0.000722031
Morocco,2019,0.00064941
Russia,2019,0.000759755
Serbia,2019,0.001092433
Switzerland,2019,4.04E-05
Turkey,2019,0.0004808
Ukraine,2019,0.000560625
Albania,2016,0
Belarus,2016,0.000808052
Bosnia and Herzegovina,2016,0.000948097
North Macedonia,2016,0.000714203
Morocco,2016,0.000692839
Russia,2016,0.000760368
Serbia,2016,0.000971637
Switzerland,2016,3.80E-05
Turkey,2016,0.000471756
Ukraine,2016,0.00056289
Bulgaria,2015,0.0005747
Croatia,2015,0.000289237
Estonia,2015,0.001131102
Finland,2015,0.000244561
Greece,2015,0.000587388
Hungary,2015,0.000389775
Latvia,2015,0.000335508
Lithuania,2015,0.000335969
Poland,2015,0.000908604
Romania,2015,0.000434776
Slovakia,2015,0.000250609
Spain,2015,0.000289723
Bulgaria,2017,0.000619393
Croatia,2017,0.0002613
Estonia,2017,0.001014475
Finland,2017,0.000255552
Greece,2017,0.000559935
Hungary,2017,0.000391364
Latvia,2017,0.000252934
Lithuania,2017,0.000410917
Poland,2017,0.000924483
Romania,2017,0.000470311
Slovakia,2017,0.000264005
Spain,2017,0.000308578
Bulgaria,2016,0.0005747
Croatia,2016,0.000289237
Estonia,2016,0.001131102
Finland,2016,0.000244561
Greece,2016,0.000587388
Hungary,2016,0.000389775
Latvia,2016,0.000335508
Lithuania,2016,0.000335969
Poland,2016,0.000908604
Romania,2016,0.000434776
Slovakia,2016,0.000250609
Spain,2016,0.000289723
Bulgaria,2018,0.000619393
Croatia,2018,0.0002613
Estonia,2018,0.001239
Finland,2018,0.000259
Greece,2018,0.00059
Hungary,2018,0.000381
Latvia,2018,0.000287
Lithuania,2018,0.000402
Poland,2018,0.000904
Romania,2018,0.000470311
Slovakia,2018,0.000273
Spain,2018,0.000258
Bulgaria,2019,0.000619393
Croatia,2019,0.0002613
Estonia,2019,0.001239
Finland,2019,0.000259
Greece,2019,0.00059
Hungary,2019,0.000381
Latvia,2019,0.000287
Lithuania,2019,0.000402
Poland,2019,0.000904
Romania,2019,0.000470311
Slovakia,2019,0.000273
Spain,2019,0.000258
Ukraine-Bur,2015,0.00108
Ukraine-Bur,2016,0.00108
Ukraine-Bur,2017,0.00108
Ukraine-Bur,2018,0.00108
Ukraine-Bur,2019,0.00108
Ukraine-Dob,2015,0.00111
Ukraine-Dob,2016,0.00111
Ukraine-Dob,2017,0.00111
Ukraine-Dob,2018,0.00111
Ukraine-Dob,2019,0.00111
Egypt,2017,0.000485
Italy,2015,0.000385
Italy,2016,0.000373
Italy,2017,0.000376
Italy,2018,0.000351
Italy,2019,0.000351
Portugal,2017,0.000355
Portugal,2018,0.000309
Portugal,2019,0.000309
Kaliningrad,2015,0.0005
Kaliningrad,2016,0.0005
Kaliningrad,2017,0.0005
Kaliningrad,2018,0.0005
Kaliningrad,2019,0.0005
Montenegro,2015,0.000793
Montenegro,2016,0.000755
Montenegro,2017,0.001081308
Montenegro,2018,0.001081308
Montenegro,2019,0.001081308
Kosovo,2017,0.001014
Kosovo,2018,0.001014
Kosovo,2019,0.001014
Slovenia,2018,0.000307
Slovenia,2019,0.000307
Austria,2019,0.00019
Austria,2018,0.00019
Israel,2018,0.000533
Israel,2019,0.000533
Cyprus,2017,0.000647
Cyprus,2018,0.000647
Cyprus,2019,0.000647
Egypt,2018,0.000485
Egypt,2019,0.000485
Libya,2017,0.000694
Libya,2018,0.000694
Libya,2019,0.000694
Tunisia,2017,0.000477
Tunisia,2018,0.000477
Tunisia,2019,0.000477
Moldova,2017,0.000728
Moldova,2018,0.000728
Moldova,2019,0.000728
