"Date","Price"
"2014-12-31 00:00:00",7.27
"2015-01-02 00:00:00",7.03
"2015-01-05 00:00:00",6.93
"2015-01-06 00:00:00",6.8
"2015-01-07 00:00:00",6.81
"2015-01-08 00:00:00",6.84
"2015-01-09 00:00:00",6.74
"2015-01-12 00:00:00",6.74
"2015-01-13 00:00:00",7.32
"2015-01-14 00:00:00",7.19
"2015-01-15 00:00:00",7.15
"2015-01-16 00:00:00",7.16
"2015-01-19 00:00:00",7.24
"2015-01-20 00:00:00",7.19
"2015-01-21 00:00:00",7.35
"2015-01-22 00:00:00",6.78
"2015-01-23 00:00:00",6.82
"2015-01-26 00:00:00",6.87
"2015-01-27 00:00:00",6.85
"2015-01-28 00:00:00",6.96
"2015-01-29 00:00:00",7.07
"2015-01-30 00:00:00",7.09
"2015-02-02 00:00:00",7.14
"2015-02-03 00:00:00",7.07
"2015-02-04 00:00:00",6.94
"2015-02-05 00:00:00",7.01
"2015-02-06 00:00:00",6.96
"2015-02-09 00:00:00",6.93
"2015-02-10 00:00:00",7.12
"2015-02-11 00:00:00",7.25
"2015-02-12 00:00:00",7.41
"2015-02-13 00:00:00",7.65
"2015-02-16 00:00:00",7.66
"2015-02-17 00:00:00",7.48
"2015-02-18 00:00:00",7.5
"2015-02-19 00:00:00",7.35
"2015-02-20 00:00:00",7.33
"2015-02-23 00:00:00",7.71
"2015-02-24 00:00:00",7.47
"2015-02-25 00:00:00",7.39
"2015-02-26 00:00:00",7.06
"2015-02-27 00:00:00",7.1
"2015-03-02 00:00:00",6.95
"2015-03-03 00:00:00",6.73
"2015-03-04 00:00:00",7.02
"2015-03-05 00:00:00",6.75
"2015-03-06 00:00:00",6.8
"2015-03-09 00:00:00",6.68
"2015-03-10 00:00:00",6.82
"2015-03-11 00:00:00",6.76
"2015-03-12 00:00:00",6.41
"2015-03-13 00:00:00",6.46
"2015-03-16 00:00:00",6.49
"2015-03-17 00:00:00",6.73
"2015-03-18 00:00:00",6.74
"2015-03-19 00:00:00",6.67
"2015-03-20 00:00:00",7.04
"2015-03-23 00:00:00",7.04
"2015-03-24 00:00:00",7.03
"2015-03-25 00:00:00",6.97
"2015-03-26 00:00:00",6.95
"2015-03-27 00:00:00",6.76
"2015-03-30 00:00:00",6.88
"2015-03-31 00:00:00",6.92
"2015-04-01 00:00:00",7.14
"2015-04-02 00:00:00",7.15
"2015-04-06 00:00:00",7.15
"2015-04-07 00:00:00",7.11
"2015-04-08 00:00:00",7.12
"2015-04-09 00:00:00",7.01
"2015-04-10 00:00:00",6.94
"2015-04-13 00:00:00",6.8
"2015-04-14 00:00:00",6.8
"2015-04-15 00:00:00",6.85
"2015-04-16 00:00:00",6.87
"2015-04-17 00:00:00",6.84
"2015-04-20 00:00:00",7.13
"2015-04-21 00:00:00",7.08
"2015-04-22 00:00:00",7.09
"2015-04-23 00:00:00",7.25
"2015-04-24 00:00:00",7.28
"2015-04-27 00:00:00",7.16
"2015-04-28 00:00:00",7.35
"2015-04-29 00:00:00",7.46
"2015-04-30 00:00:00",7.39
"2015-05-01 00:00:00",7.48
"2015-05-04 00:00:00",7.58
"2015-05-05 00:00:00",7.55
"2015-05-06 00:00:00",7.53
"2015-05-07 00:00:00",7.43
"2015-05-08 00:00:00",7.53
"2015-05-11 00:00:00",7.62
"2015-05-12 00:00:00",7.59
"2015-05-13 00:00:00",7.64
"2015-05-14 00:00:00",7.55
"2015-05-15 00:00:00",7.59
"2015-05-18 00:00:00",7.6
"2015-05-19 00:00:00",7.37
"2015-05-20 00:00:00",7.35
"2015-05-21 00:00:00",7.3
"2015-05-22 00:00:00",7.3
"2015-05-25 00:00:00",7.36
"2015-05-26 00:00:00",7.22
"2015-05-27 00:00:00",7.17
"2015-05-28 00:00:00",7.18
"2015-05-29 00:00:00",7.32
"2015-06-01 00:00:00",7.24
"2015-06-02 00:00:00",7.44
"2015-06-03 00:00:00",7.48
"2015-06-04 00:00:00",7.39
"2015-06-05 00:00:00",7.4
"2015-06-08 00:00:00",7.44
"2015-06-09 00:00:00",7.56
"2015-06-10 00:00:00",7.58
"2015-06-11 00:00:00",7.5
"2015-06-12 00:00:00",7.61
"2015-06-15 00:00:00",7.51
"2015-06-16 00:00:00",7.41
"2015-06-17 00:00:00",7.46
"2015-06-18 00:00:00",7.45
"2015-06-19 00:00:00",7.41
"2015-06-22 00:00:00",7.46
"2015-06-23 00:00:00",7.48
"2015-06-24 00:00:00",7.48
"2015-06-25 00:00:00",7.58
"2015-06-26 00:00:00",7.52
"2015-06-29 00:00:00",7.36
"2015-06-30 00:00:00",7.44
