Map,ID,Lat,Lon,Status
Main,Rus-Nor,69.7,29.6,Existing
Main,Rus-Nor,68.9,30.8,Existing
Main,Rus-Fin2,64.5,31.3,Existing
Main,Rus-Fin2,64.5,28.8,Existing
Main,Rus-Est,58.3,28.5,Existing
Main,Rus-Est,58.3,26.7,Existing
Main,Rus-Lat,56.8,28.9,Existing
Main,Rus-Lat,56.8,26.9,Existing
Main,Bel-Lit2,54.3,26.4,Existing
Main,Bel-Lit2,54.95,25.1,Existing
Main,Rus-Lit2,54.8,21.9,Existing
Main,Rus-Lit2,55.57,21.9,Existing
Ukraine,Ukr-Pol,50.6,25,Existing
Ukraine,Ukr-Pol,50.6,22.5,Existing
Ukraine,Ukr-slo2,48.9,22.8,Planned
Ukraine,Ukr-slo2,48.9,21.5,Planned
Ukraine,Ukr-slo,48.7,22.8,Existing
Ukraine,Ukr-slo,48.7,21.5,Existing
Ukraine,Ukr-Hun,47.5,21,Existing
Ukraine,Ukr-Hun,50,25.7,Existing
Ukraine,Ukr-Hun2,48.3,23,Existing
Ukraine,Ukr-Hun2,47.8,22,Existing
Ukraine,Ukr-Rom,48.5,23.7,Existing
Ukraine,Ukr-Rom,47.5,23.7,Existing
Ukraine,Ukr-Rom2,48,30.8,Existing
Ukraine,Ukr-Rom2,45.1,28.3,Existing
Main,Mol-Rom2,47,28.4,Existing
Main,Mol-Rom2,47,26.7,Existing
Turkey,TUR-ROM,44.16,28.63,Planned
Turkey,TUR-ROM,41.1,28.95,Planned
Turkey,TUR-BGR,41.6,27.4,Existing
Turkey,TUR-BGR,42.3,26.3,Existing
Turkey,TUR-GRC,41.1,27.1,Existing
Turkey,TUR-GRC,41.1,25.7,Existing
Egypt,Gre-Egy,37.9,23.8,Planned
Egypt,Gre-Egy,35.3,24.7,Planned
Egypt,Gre-Egy,34.8,33.5,Planned
Main,Gre-Egy2,34.8,33.5,Planned
Main,Gre-Egy2,31.4,31.8,Planned
Main,Gre-Isr,34.8,33.5,Planned
Main,Gre-Isr,31.5,34.6,Planned
WBalk,Gre-Mac,41.4,22.3,Existing
WBalk,Gre-Mac,40.4,22.3,Existing
WBalk,Gre-Mac2,40.4,22,Planned
WBalk,Gre-Mac2,41.4,22,Planned
WBalk,Gre-Alb,40.4,20.3,Existing
WBalk,Gre-Alb,40.4,21.4,Existing
WBalk,MNE-ITA,42.39,14.13,Existing
WBalk,MNE-ITA,42.05,16.37,Existing
WBalk,MNE-ITA,42.36,18.73,Existing
WBalk,Bos-Cro7,44.5,16.9,Planned
WBalk,Bos-Cro7,44.5,15.7,Planned
WBalk,Bos-Cro3,44.3,16.9,Existing
WBalk,Bos-Cro3,44.3,15.7,Existing
WBalk,Ser-Cro3,45.6,18.5,Planned
WBalk,Ser-Cro3,45.6,19.5,Planned
WBalk,Ser-Cro,45.4,18.5,Existing
WBalk,Ser-Cro,45.4,19.5,Existing
WBalk,Mac-Bul,41.8,22.4,Existing
WBalk,Mac-Bul,41.8,23.6,Existing
WBalk,Ser-Bul,43.2,23.6,Existing
WBalk,Ser-Bul,43.2,22.3,Existing
WBalk,Ser-Rom2,45.5,21.9,Existing
WBalk,Ser-Rom2,44.85,20.8,Existing
WBalk,Ser-Hun2,46.5,19.8,Existing
WBalk,Ser-Hun2,45.5,19.8,Existing
Main,Tun-Ita,37.8,12.8,Planned
Main,Tun-Ita,36.8,10.9,Planned
Main,Tun-Ita2,33.4,8.5,Planned
Main,Tun-Ita2,33.9,10,Planned
Main,Tun-Ita2,36.8,10.1,Planned
Main,Tun-Ita2,41.4,10.1,Planned
Main,Tun-Ita2,42.5,11.3,Planned
Main,Gre-Lib,32.1,23.8,Planned
Main,Gre-Lib,33.8,23.8,Planned
Main,Gre-Lib,35.3,24.7,Planned
Main,Mor-Spa,35.3,-5.7,Planned
Main,Mor-Spa,36.5,-5.7,Planned
Main,Mor-Spa2,35.3,-5.4,Existing
Main,Mor-Spa2,36.5,-5.4,Existing
Main,Mor-Por,35.3,-5.7,Planned
Main,Mor-Por,37.2,-7.7,Planned
